project_id,sov_line_id,estimated_labor_hours,estimated_labor_cost,estimated_material_cost,estimated_equipment_cost,estimated_sub_cost,productivity_factor,key_assumptions
PRJ-2024-002,PRJ-2024-002-SOV-01,22494,1491300,894600,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2024-002,PRJ-2024-002-SOV-02,9694,642700,367600,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2024-002,PRJ-2024-002-SOV-03,26013,1724600,1194400,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2024-002,PRJ-2024-002-SOV-04,34717,2301700,1475500,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2024-002,PRJ-2024-002-SOV-05,29462,1953300,960500,0,0,0.9,Copper pricing based on current market rates
PRJ-2024-002,PRJ-2024-002-SOV-06,20415,1353500,823800,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2024-002,PRJ-2024-002-SOV-07,19017,1260800,0,3631400,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2024-002,PRJ-2024-002-SOV-08,12416,823100,0,2392700,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2024-002,PRJ-2024-002-SOV-09,9392,622600,0,1900800,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2024-002,PRJ-2024-002-SOV-10,18553,1230000,512900,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2024-002,PRJ-2024-002-SOV-11,9694,642700,486000,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2024-002,PRJ-2024-002-SOV-12,14130,936800,0,0,1350700,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2024-002,PRJ-2024-002-SOV-13,5919,392400,0,0,504600,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2024-002,PRJ-2024-002-SOV-14,5657,375000,174900,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2024-002,PRJ-2024-002-SOV-15,4532,300400,126600,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2024-003,PRJ-2024-003-SOV-01,3491,147400,88300,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2024-003,PRJ-2024-003-SOV-02,1382,58300,26800,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2024-003,PRJ-2024-003-SOV-03,5686,240200,145100,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2024-003,PRJ-2024-003-SOV-04,6154,260000,120900,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2024-003,PRJ-2024-003-SOV-05,4932,208300,92000,0,0,0.9,Copper pricing based on current market rates
PRJ-2024-003,PRJ-2024-003-SOV-06,3128,132100,85500,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2024-003,PRJ-2024-003-SOV-07,2323,98100,0,339400,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2024-003,PRJ-2024-003-SOV-08,1858,78500,0,251900,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2024-003,PRJ-2024-003-SOV-09,2088,88200,0,230800,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2024-003,PRJ-2024-003-SOV-10,4504,190200,111400,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2024-003,PRJ-2024-003-SOV-11,1801,76000,39800,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2024-003,PRJ-2024-003-SOV-12,3401,143600,0,0,164700,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2024-003,PRJ-2024-003-SOV-13,1201,50700,0,0,59100,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2024-003,PRJ-2024-003-SOV-14,978,41300,32000,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2024-003,PRJ-2024-003-SOV-15,1185,50000,20100,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2024-004,PRJ-2024-004-SOV-01,10879,671700,432800,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2024-004,PRJ-2024-004-SOV-02,2821,174100,110300,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2024-004,PRJ-2024-004-SOV-03,13166,813000,497500,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2024-004,PRJ-2024-004-SOV-04,20198,1247200,615600,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2024-004,PRJ-2024-004-SOV-05,14098,870500,518700,0,0,0.9,Copper pricing based on current market rates
PRJ-2024-004,PRJ-2024-004-SOV-06,10471,646500,262300,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2024-004,PRJ-2024-004-SOV-07,8135,502300,0,1978000,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2024-004,PRJ-2024-004-SOV-08,6617,408600,0,1206100,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2024-004,PRJ-2024-004-SOV-09,3878,239400,0,796600,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2024-004,PRJ-2024-004-SOV-10,15254,941900,582700,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2024-004,PRJ-2024-004-SOV-11,8372,516900,181300,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2024-004,PRJ-2024-004-SOV-12,9480,585300,0,0,626600,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2024-004,PRJ-2024-004-SOV-13,3833,236600,0,0,273400,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2024-004,PRJ-2024-004-SOV-14,3054,188500,107100,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2024-004,PRJ-2024-004-SOV-15,2533,156400,99400,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2024-005,PRJ-2024-005-SOV-01,9826,638600,380000,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2024-005,PRJ-2024-005-SOV-02,5015,325900,128100,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2024-005,PRJ-2024-005-SOV-03,13188,857200,592400,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2024-005,PRJ-2024-005-SOV-04,13366,868700,490400,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2024-005,PRJ-2024-005-SOV-05,13781,895700,497900,0,0,0.9,Copper pricing based on current market rates
PRJ-2024-005,PRJ-2024-005-SOV-06,10283,668300,289800,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2024-005,PRJ-2024-005-SOV-07,3972,258100,0,1358700,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2024-005,PRJ-2024-005-SOV-08,3954,257000,0,1022400,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2024-005,PRJ-2024-005-SOV-09,3071,199600,0,708900,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2024-005,PRJ-2024-005-SOV-10,10210,663600,449300,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2024-005,PRJ-2024-005-SOV-11,5377,349500,187200,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2024-005,PRJ-2024-005-SOV-12,9150,594700,0,0,649900,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2024-005,PRJ-2024-005-SOV-13,3524,229000,0,0,277600,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2024-005,PRJ-2024-005-SOV-14,4339,282000,141700,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2024-005,PRJ-2024-005-SOV-15,1504,97700,59500,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2018-001,PRJ-2018-001-SOV-01,24809,1645600,1084400,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2018-001,PRJ-2018-001-SOV-02,11378,754700,366500,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2018-001,PRJ-2018-001-SOV-03,42424,2814000,1530400,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2018-001,PRJ-2018-001-SOV-04,45127,2993300,1400200,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2018-001,PRJ-2018-001-SOV-05,33661,2232800,1531200,0,0,0.9,Copper pricing based on current market rates
PRJ-2018-001,PRJ-2018-001-SOV-06,18084,1199500,901500,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2018-001,PRJ-2018-001-SOV-07,13404,889100,0,3618300,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2018-001,PRJ-2018-001-SOV-08,12212,810000,0,2357400,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2018-001,PRJ-2018-001-SOV-09,14924,989900,0,2890300,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2018-001,PRJ-2018-001-SOV-10,25633,1700200,1113800,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2018-001,PRJ-2018-001-SOV-11,16136,1070300,640800,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2018-001,PRJ-2018-001-SOV-12,20581,1365100,0,0,1793700,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2018-001,PRJ-2018-001-SOV-13,11676,774400,0,0,983300,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2018-001,PRJ-2018-001-SOV-14,8062,534700,224700,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2018-001,PRJ-2018-001-SOV-15,7938,526500,298200,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2018-002,PRJ-2018-002-SOV-01,18047,1130100,482300,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2018-002,PRJ-2018-002-SOV-02,6866,429900,241100,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2018-002,PRJ-2018-002-SOV-03,29210,1829200,1308400,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2018-002,PRJ-2018-002-SOV-04,33160,2076500,1005800,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2018-002,PRJ-2018-002-SOV-05,28643,1793700,1025000,0,0,0.9,Copper pricing based on current market rates
PRJ-2018-002,PRJ-2018-002-SOV-06,14448,904700,643200,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2018-002,PRJ-2018-002-SOV-07,13961,874200,0,3057100,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2018-002,PRJ-2018-002-SOV-08,11520,721400,0,1958800,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2018-002,PRJ-2018-002-SOV-09,8199,513400,0,1696100,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2018-002,PRJ-2018-002-SOV-10,31687,1984300,668200,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2018-002,PRJ-2018-002-SOV-11,14391,901200,377800,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2018-002,PRJ-2018-002-SOV-12,13210,827200,0,0,1091000,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2018-002,PRJ-2018-002-SOV-13,7701,482200,0,0,538700,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2018-002,PRJ-2018-002-SOV-14,5338,334200,224200,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2018-002,PRJ-2018-002-SOV-15,5357,335400,166800,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2018-003,PRJ-2018-003-SOV-01,8713,588800,246200,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2018-003,PRJ-2018-003-SOV-02,2288,154600,76300,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2018-003,PRJ-2018-003-SOV-03,12785,864000,374300,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2018-003,PRJ-2018-003-SOV-04,12791,864400,365900,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2018-003,PRJ-2018-003-SOV-05,9679,654100,397500,0,0,0.9,Copper pricing based on current market rates
PRJ-2018-003,PRJ-2018-003-SOV-06,6484,438200,247700,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2018-003,PRJ-2018-003-SOV-07,6141,415000,0,1211500,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2018-003,PRJ-2018-003-SOV-08,5224,353000,0,1177300,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2018-003,PRJ-2018-003-SOV-09,3894,263100,0,778800,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2018-003,PRJ-2018-003-SOV-10,7539,509500,314000,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2018-003,PRJ-2018-003-SOV-11,3497,236300,100300,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2018-003,PRJ-2018-003-SOV-12,6623,447600,0,0,517800,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2018-003,PRJ-2018-003-SOV-13,4022,271800,0,0,316900,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2018-003,PRJ-2018-003-SOV-14,2813,190100,134100,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2018-003,PRJ-2018-003-SOV-15,1966,132800,89300,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2018-004,PRJ-2018-004-SOV-01,10477,675100,337400,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2018-004,PRJ-2018-004-SOV-02,3085,198700,85900,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2018-004,PRJ-2018-004-SOV-03,10357,667300,294100,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2018-004,PRJ-2018-004-SOV-04,12703,818500,287900,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2018-004,PRJ-2018-004-SOV-05,10097,650600,317300,0,0,0.9,Copper pricing based on current market rates
PRJ-2018-004,PRJ-2018-004-SOV-06,4908,316200,132200,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2018-004,PRJ-2018-004-SOV-07,5093,328100,0,1316700,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2018-004,PRJ-2018-004-SOV-08,5496,354100,0,952100,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2018-004,PRJ-2018-004-SOV-09,1854,119400,0,502900,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2018-004,PRJ-2018-004-SOV-10,9808,632000,351200,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2018-004,PRJ-2018-004-SOV-11,4421,284800,167000,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2018-004,PRJ-2018-004-SOV-12,5626,362500,0,0,405300,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2018-004,PRJ-2018-004-SOV-13,4499,289900,0,0,323400,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2018-004,PRJ-2018-004-SOV-14,2665,171700,65000,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2018-004,PRJ-2018-004-SOV-15,1313,84600,41200,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2018-005,PRJ-2018-005-SOV-01,5431,329600,241900,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2018-005,PRJ-2018-005-SOV-02,2380,144400,62200,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2018-005,PRJ-2018-005-SOV-03,8688,527300,282700,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2018-005,PRJ-2018-005-SOV-04,9335,566500,368100,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2018-005,PRJ-2018-005-SOV-05,6514,395300,217200,0,0,0.9,Copper pricing based on current market rates
PRJ-2018-005,PRJ-2018-005-SOV-06,4245,257600,170100,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2018-005,PRJ-2018-005-SOV-07,2772,168200,0,822100,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2018-005,PRJ-2018-005-SOV-08,3266,198200,0,543000,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2018-005,PRJ-2018-005-SOV-09,1807,109600,0,408700,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2018-005,PRJ-2018-005-SOV-10,5039,305800,114200,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2018-005,PRJ-2018-005-SOV-11,2475,150200,78200,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2018-005,PRJ-2018-005-SOV-12,3284,199300,0,0,269700,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2018-005,PRJ-2018-005-SOV-13,1756,106500,0,0,114400,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2018-005,PRJ-2018-005-SOV-14,1800,109200,62100,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2018-005,PRJ-2018-005-SOV-15,1379,83600,34800,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2018-006,PRJ-2018-006-SOV-01,6958,428600,280600,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2018-006,PRJ-2018-006-SOV-02,2767,170400,114200,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2018-006,PRJ-2018-006-SOV-03,8941,550800,292000,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2018-006,PRJ-2018-006-SOV-04,10586,652200,319100,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2018-006,PRJ-2018-006-SOV-05,9122,562000,307300,0,0,0.9,Copper pricing based on current market rates
PRJ-2018-006,PRJ-2018-006-SOV-06,5914,364300,170000,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2018-006,PRJ-2018-006-SOV-07,6159,379400,0,1052500,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2018-006,PRJ-2018-006-SOV-08,4513,278000,0,807500,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2018-006,PRJ-2018-006-SOV-09,2135,131500,0,598400,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2018-006,PRJ-2018-006-SOV-10,6191,381400,265000,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2018-006,PRJ-2018-006-SOV-11,4084,251600,167100,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2018-006,PRJ-2018-006-SOV-12,6250,385000,0,0,417700,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2018-006,PRJ-2018-006-SOV-13,2552,157200,0,0,179700,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2018-006,PRJ-2018-006-SOV-14,2540,156400,63500,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2018-006,PRJ-2018-006-SOV-15,1110,68300,43400,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2018-007,PRJ-2018-007-SOV-01,16861,1096200,651200,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2018-007,PRJ-2018-007-SOV-02,7166,465900,280400,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2018-007,PRJ-2018-007-SOV-03,13232,860300,420200,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2018-007,PRJ-2018-007-SOV-04,21295,1384500,909800,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2018-007,PRJ-2018-007-SOV-05,18607,1209700,603400,0,0,0.9,Copper pricing based on current market rates
PRJ-2018-007,PRJ-2018-007-SOV-06,11103,721800,480100,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2018-007,PRJ-2018-007-SOV-07,6229,404900,0,1510700,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2018-007,PRJ-2018-007-SOV-08,7067,459400,0,1626200,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2018-007,PRJ-2018-007-SOV-09,5759,374400,0,919000,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2018-007,PRJ-2018-007-SOV-10,11637,756600,419400,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2018-007,PRJ-2018-007-SOV-11,8892,578100,331000,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2018-007,PRJ-2018-007-SOV-12,8430,548000,0,0,637900,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2018-007,PRJ-2018-007-SOV-13,6475,420900,0,0,516500,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2018-007,PRJ-2018-007-SOV-14,4438,288500,184400,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2018-007,PRJ-2018-007-SOV-15,2545,165400,79400,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2018-008,PRJ-2018-008-SOV-01,4832,316500,196400,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2018-008,PRJ-2018-008-SOV-02,2146,140500,86300,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2018-008,PRJ-2018-008-SOV-03,6694,438500,170500,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2018-008,PRJ-2018-008-SOV-04,6010,393700,210400,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2018-008,PRJ-2018-008-SOV-05,5940,389100,202500,0,0,0.9,Copper pricing based on current market rates
PRJ-2018-008,PRJ-2018-008-SOV-06,2307,151100,98000,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2018-008,PRJ-2018-008-SOV-07,2967,194300,0,746000,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2018-008,PRJ-2018-008-SOV-08,1876,122800,0,345700,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2018-008,PRJ-2018-008-SOV-09,2096,137300,0,439600,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2018-008,PRJ-2018-008-SOV-10,4410,288800,159900,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2018-008,PRJ-2018-008-SOV-11,2359,154500,103700,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2018-008,PRJ-2018-008-SOV-12,3095,202700,0,0,268800,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2018-008,PRJ-2018-008-SOV-13,1632,106900,0,0,145200,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2018-008,PRJ-2018-008-SOV-14,1209,79200,53300,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2018-008,PRJ-2018-008-SOV-15,1005,65800,41200,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2018-009,PRJ-2018-009-SOV-01,11388,716700,514900,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2018-009,PRJ-2018-009-SOV-02,3161,198900,83100,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2018-009,PRJ-2018-009-SOV-03,12855,809000,298900,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2018-009,PRJ-2018-009-SOV-04,16139,1015700,619900,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2018-009,PRJ-2018-009-SOV-05,17188,1081700,384400,0,0,0.9,Copper pricing based on current market rates
PRJ-2018-009,PRJ-2018-009-SOV-06,9121,574000,313300,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2018-009,PRJ-2018-009-SOV-07,6728,423400,0,1706900,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2018-009,PRJ-2018-009-SOV-08,4233,266400,0,987300,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2018-009,PRJ-2018-009-SOV-09,2841,178800,0,786200,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2018-009,PRJ-2018-009-SOV-10,11762,740200,359500,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2018-009,PRJ-2018-009-SOV-11,5040,317200,147300,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2018-009,PRJ-2018-009-SOV-12,6714,422500,0,0,547900,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2018-009,PRJ-2018-009-SOV-13,4018,252800,0,0,309200,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2018-009,PRJ-2018-009-SOV-14,3032,190800,104100,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2018-009,PRJ-2018-009-SOV-15,2029,127700,66600,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
PRJ-2018-010,PRJ-2018-010-SOV-01,10149,608700,346700,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
