project_id,co_number,date_submitted,reason_category,description,amount,status,related_rfi,affected_sov_lines,labor_hours_impact,schedule_impact_days,submitted_by,approved_by
PRJ-2024-004,CO-003,2024-08-10,Code Compliance,Inspector required additional smoke detectors,330800,Rejected,RFI-030,"['PRJ-2024-004-SOV-15', 'PRJ-2024-004-SOV-10', 'PRJ-2024-004-SOV-09']",51,0,R. Williams,
PRJ-2024-004,CO-009,2024-08-10,Coordination,Rerouting required due to structural conflict,296500,Approved,RFI-026,"['PRJ-2024-004-SOV-04', 'PRJ-2024-004-SOV-01']",63,0,K. Thompson,
PRJ-2024-004,CO-006,2024-08-13,Owner Request,Added controls points per owner directive,458900,Rejected,,['PRJ-2024-004-SOV-13'],128,0,J. Martinez,Owner Rep
PRJ-2024-004,CO-012,2024-09-16,Design Error,Drawings showed incorrect pipe elevation - field correction required,57100,Rejected,,"['PRJ-2024-004-SOV-12', 'PRJ-2024-004-SOV-15']",183,0,K. Thompson,Owner Rep
PRJ-2024-004,CO-011,2024-10-30,Code Compliance,Inspector required additional smoke detectors,379700,Approved,,"['PRJ-2024-004-SOV-05', 'PRJ-2024-004-SOV-13', 'PRJ-2024-004-SOV-12']",75,14,K. Thompson,Project Manager
PRJ-2024-004,CO-010,2024-11-09,Scope Gap,Work not clearly defined in bid documents,528600,Approved,RFI-003,"['PRJ-2024-004-SOV-01', 'PRJ-2024-004-SOV-03', 'PRJ-2024-004-SOV-02']",90,0,R. Williams,Project Manager
PRJ-2024-005,CO-004,2024-05-01,Value Engineering,Substitution approved: copper piping to Daikin RTU,-103000,Approved,,"['PRJ-2024-005-SOV-08', 'PRJ-2024-005-SOV-05', 'PRJ-2024-005-SOV-12']",-81,0,K. Thompson,
PRJ-2024-005,CO-009,2024-06-12,Owner Request,Added exhaust fan per owner directive,136600,Approved,,"['PRJ-2024-005-SOV-13', 'PRJ-2024-005-SOV-11', 'PRJ-2024-005-SOV-05']",50,5,R. Williams,
PRJ-2024-005,CO-003,2024-07-13,Value Engineering,Substitution approved: Carrier RTU to steel piping,-91300,Approved,RFI-003,['PRJ-2024-005-SOV-02'],-94,0,J. Martinez,Owner Rep
PRJ-2024-005,CO-010,2024-07-14,Owner Request,Added exhaust fan per owner directive,322800,Approved,RFI-027,['PRJ-2024-005-SOV-07'],97,14,J. Martinez,
PRJ-2024-005,CO-002,2024-08-25,Unforeseen Condition,Discovered asbestos insulation not shown on documents,41400,Approved,RFI-002,['PRJ-2024-005-SOV-11'],56,14,R. Williams,
PRJ-2024-005,CO-011,2024-12-13,Design Error,Drawings showed incorrect duct size - field correction required,152600,Rejected,,"['PRJ-2024-005-SOV-10', 'PRJ-2024-005-SOV-03', 'PRJ-2024-005-SOV-12']",146,14,K. Thompson,
PRJ-2024-005,CO-006,2025-02-11,Owner Request,Added chilled water piping per owner directive,488100,Rejected,,"['PRJ-2024-005-SOV-14', 'PRJ-2024-005-SOV-10', 'PRJ-2024-005-SOV-02']",71,2,K. Thompson,Owner Rep
PRJ-2024-005,CO-008,2025-02-18,Scope Gap,Work not clearly defined in bid documents,266100,Rejected,RFI-022,"['PRJ-2024-005-SOV-08', 'PRJ-2024-005-SOV-15']",44,14,R. Williams,Project Manager
PRJ-2024-005,CO-005,2025-05-25,Design Error,Drawings showed incorrect equipment clearance - field correction required,210600,Approved,,"['PRJ-2024-005-SOV-08', 'PRJ-2024-005-SOV-09']",103,5,R. Williams,Owner Rep
PRJ-2024-005,CO-001,2025-08-01,Owner Request,Added exhaust fan per owner directive,516600,Approved,,"['PRJ-2024-005-SOV-02', 'PRJ-2024-005-SOV-06']",181,0,J. Martinez,
PRJ-2024-005,CO-012,2025-08-28,Coordination,Rerouting required due to plumbing conflict,310300,Approved,,"['PRJ-2024-005-SOV-14', 'PRJ-2024-005-SOV-09', 'PRJ-2024-005-SOV-15']",19,7,J. Martinez,Project Manager
PRJ-2024-005,CO-007,2025-09-26,Design Error,Drawings showed incorrect pipe elevation - field correction required,226700,Approved,RFI-027,['PRJ-2024-005-SOV-15'],138,0,J. Martinez,Owner Rep
PRJ-2018-001,CO-008,2018-02-22,Scope Gap,Work not clearly defined in bid documents,265400,Rejected,RFI-020,['PRJ-2018-001-SOV-09'],176,7,J. Martinez,Owner Rep
PRJ-2018-001,CO-005,2018-03-04,Design Error,Drawings showed incorrect duct size - field correction required,586700,Approved,RFI-029,"['PRJ-2018-001-SOV-08', 'PRJ-2018-001-SOV-06', 'PRJ-2018-001-SOV-02']",65,7,J. Martinez,Project Manager
PRJ-2018-001,CO-001,2018-03-18,Coordination,Rerouting required due to plumbing conflict,925200,Approved,RFI-019,['PRJ-2018-001-SOV-05'],42,0,J. Martinez,Owner Rep
PRJ-2018-001,CO-006,2018-04-16,Scope Gap,Work not clearly defined in bid documents,838200,Approved,RFI-027,"['PRJ-2018-001-SOV-06', 'PRJ-2018-001-SOV-15']",83,5,R. Williams,Project Manager
PRJ-2018-001,CO-003,2018-05-09,Owner Request,Added controls points per owner directive,760000,Approved,RFI-022,"['PRJ-2018-001-SOV-12', 'PRJ-2018-001-SOV-02', 'PRJ-2018-001-SOV-14']",47,7,R. Williams,Project Manager
PRJ-2018-001,CO-004,2018-05-24,Design Error,Drawings showed incorrect equipment clearance - field correction required,296800,Approved,,"['PRJ-2018-001-SOV-14', 'PRJ-2018-001-SOV-01', 'PRJ-2018-001-SOV-13']",60,0,J. Martinez,
PRJ-2018-001,CO-009,2018-07-05,Unforeseen Condition,Discovered existing ductwork not shown on documents,737000,Approved,RFI-030,"['PRJ-2018-001-SOV-01', 'PRJ-2018-001-SOV-03', 'PRJ-2018-001-SOV-12']",80,0,K. Thompson,Owner Rep
PRJ-2018-001,CO-010,2018-09-26,Unforeseen Condition,Discovered existing ductwork not shown on documents,896800,Rejected,RFI-010,['PRJ-2018-001-SOV-05'],171,2,R. Williams,Project Manager
PRJ-2018-001,CO-007,2018-10-06,Code Compliance,Inspector required additional smoke detectors,533900,Approved,RFI-020,"['PRJ-2018-001-SOV-09', 'PRJ-2018-001-SOV-14', 'PRJ-2018-001-SOV-11']",69,5,K. Thompson,
PRJ-2018-001,CO-002,2018-11-05,Value Engineering,Substitution approved: copper piping to Daikin RTU,-384000,Approved,RFI-026,['PRJ-2018-001-SOV-13'],-53,0,J. Martinez,Owner Rep
PRJ-2018-002,CO-007,2018-02-23,Code Compliance,Inspector required seismic upgrades,266500,Rejected,RFI-004,"['PRJ-2018-002-SOV-04', 'PRJ-2018-002-SOV-06']",175,2,J. Martinez,
PRJ-2018-002,CO-012,2018-04-22,Acceleration,Premium time to maintain schedule,534000,Approved,,"['PRJ-2018-002-SOV-15', 'PRJ-2018-002-SOV-03', 'PRJ-2018-002-SOV-10']",164,2,R. Williams,Owner Rep
PRJ-2018-002,CO-006,2018-04-27,Owner Request,Added exhaust fan per owner directive,776900,Rejected,RFI-028,"['PRJ-2018-002-SOV-12', 'PRJ-2018-002-SOV-10']",110,5,K. Thompson,Owner Rep
PRJ-2018-002,CO-002,2018-05-04,Code Compliance,Inspector required seismic upgrades,365600,Approved,,['PRJ-2018-002-SOV-07'],81,2,R. Williams,Project Manager
PRJ-2018-002,CO-008,2018-09-26,Code Compliance,Inspector required fire dampers,448200,Rejected,RFI-004,['PRJ-2018-002-SOV-05'],38,7,R. Williams,
PRJ-2018-002,CO-004,2018-10-24,Code Compliance,Inspector required additional smoke detectors,186800,Approved,,['PRJ-2018-002-SOV-04'],123,0,K. Thompson,
PRJ-2018-002,CO-009,2018-11-04,Acceleration,Premium time to maintain schedule,242900,Rejected,RFI-028,"['PRJ-2018-002-SOV-01', 'PRJ-2018-002-SOV-11', 'PRJ-2018-002-SOV-10']",125,0,K. Thompson,
PRJ-2018-002,CO-003,2019-01-16,Coordination,Rerouting required due to structural conflict,697800,Approved,,['PRJ-2018-002-SOV-01'],121,14,J. Martinez,
PRJ-2018-002,CO-001,2019-02-05,Design Error,Drawings showed incorrect duct size - field correction required,323500,Rejected,,"['PRJ-2018-002-SOV-01', 'PRJ-2018-002-SOV-14', 'PRJ-2018-002-SOV-09']",114,7,J. Martinez,Owner Rep
PRJ-2018-002,CO-010,2019-02-20,Unforeseen Condition,Discovered structural conflict not shown on documents,290400,Approved,RFI-004,"['PRJ-2018-002-SOV-08', 'PRJ-2018-002-SOV-09']",186,0,J. Martinez,Project Manager
PRJ-2018-002,CO-005,2019-03-27,Owner Request,Added chilled water piping per owner directive,450400,Rejected,,"['PRJ-2018-002-SOV-05', 'PRJ-2018-002-SOV-09']",82,0,J. Martinez,Owner Rep
PRJ-2018-002,CO-011,2019-04-01,Value Engineering,Substitution approved: Carrier RTU to York chiller,-411400,Approved,,['PRJ-2018-002-SOV-10'],-39,0,R. Williams,
PRJ-2018-002,CO-013,2019-04-04,Design Error,Drawings showed incorrect pipe elevation - field correction required,630800,Approved,,"['PRJ-2018-002-SOV-06', 'PRJ-2018-002-SOV-12', 'PRJ-2018-002-SOV-08']",112,14,R. Williams,Owner Rep
PRJ-2018-003,CO-001,2018-02-22,Unforeseen Condition,Discovered existing ductwork not shown on documents,283900,Approved,,"['PRJ-2018-003-SOV-04', 'PRJ-2018-003-SOV-09', 'PRJ-2018-003-SOV-06']",67,14,K. Thompson,Project Manager
PRJ-2018-003,CO-007,2018-04-28,Value Engineering,Substitution approved: copper piping to steel piping,-96700,Rejected,,"['PRJ-2018-003-SOV-13', 'PRJ-2018-003-SOV-12', 'PRJ-2018-003-SOV-14']",-86,0,R. Williams,Project Manager
PRJ-2018-003,CO-008,2018-05-08,Code Compliance,Inspector required fire dampers,158200,Approved,,"['PRJ-2018-003-SOV-05', 'PRJ-2018-003-SOV-08']",63,0,K. Thompson,Project Manager
PRJ-2018-003,CO-003,2018-06-01,Acceleration,Premium time to maintain schedule,232700,Rejected,RFI-003,"['PRJ-2018-003-SOV-11', 'PRJ-2018-003-SOV-06']",159,7,R. Williams,
PRJ-2018-003,CO-006,2018-06-08,Design Error,Drawings showed incorrect duct size - field correction required,191600,Approved,,['PRJ-2018-003-SOV-12'],47,0,R. Williams,
PRJ-2018-003,CO-005,2018-07-09,Owner Request,Added exhaust fan per owner directive,152400,Approved,RFI-026,['PRJ-2018-003-SOV-07'],181,0,K. Thompson,Owner Rep
PRJ-2018-003,CO-009,2018-12-31,Acceleration,Premium time to maintain schedule,259600,Rejected,RFI-013,['PRJ-2018-003-SOV-04'],59,5,J. Martinez,Owner Rep
PRJ-2018-003,CO-004,2019-02-03,Code Compliance,Inspector required access panels,66700,Approved,RFI-006,"['PRJ-2018-003-SOV-14', 'PRJ-2018-003-SOV-13', 'PRJ-2018-003-SOV-04']",146,7,J. Martinez,
PRJ-2018-003,CO-002,2019-02-19,Acceleration,Premium time to maintain schedule,231200,Approved,RFI-007,['PRJ-2018-003-SOV-09'],17,5,K. Thompson,Owner Rep
PRJ-2018-004,CO-008,2018-07-06,Scope Gap,Work not clearly defined in bid documents,166600,Approved,,['PRJ-2018-004-SOV-03'],154,5,K. Thompson,
PRJ-2018-004,CO-004,2018-08-27,Value Engineering,Substitution approved: copper piping to Daikin RTU,-107900,Approved,RFI-006,"['PRJ-2018-004-SOV-01', 'PRJ-2018-004-SOV-02', 'PRJ-2018-004-SOV-04']",-92,0,J. Martinez,Project Manager
PRJ-2018-004,CO-007,2018-10-10,Acceleration,Premium time to maintain schedule,258300,Approved,,"['PRJ-2018-004-SOV-05', 'PRJ-2018-004-SOV-10']",162,0,J. Martinez,Project Manager
PRJ-2018-004,CO-002,2018-10-14,Code Compliance,Inspector required access panels,169000,Rejected,,"['PRJ-2018-004-SOV-08', 'PRJ-2018-004-SOV-13', 'PRJ-2018-004-SOV-10']",99,5,J. Martinez,
PRJ-2018-004,CO-003,2018-11-13,Design Error,Drawings showed incorrect pipe elevation - field correction required,139600,Rejected,RFI-006,['PRJ-2018-004-SOV-01'],47,0,K. Thompson,
PRJ-2018-004,CO-006,2019-02-15,Code Compliance,Inspector required fire dampers,202100,Rejected,,"['PRJ-2018-004-SOV-06', 'PRJ-2018-004-SOV-04', 'PRJ-2018-004-SOV-01']",75,0,R. Williams,
PRJ-2018-004,CO-005,2019-04-12,Owner Request,Added VAV boxes per owner directive,62800,Approved,RFI-001,"['PRJ-2018-004-SOV-06', 'PRJ-2018-004-SOV-09']",131,2,J. Martinez,Project Manager
PRJ-2018-004,CO-001,2019-04-19,Coordination,Rerouting required due to fire protection conflict,213800,Approved,RFI-007,"['PRJ-2018-004-SOV-05', 'PRJ-2018-004-SOV-03']",153,0,J. Martinez,Project Manager
PRJ-2018-005,CO-008,2018-02-10,Acceleration,Premium time to maintain schedule,185000,Approved,RFI-008,"['PRJ-2018-005-SOV-15', 'PRJ-2018-005-SOV-06', 'PRJ-2018-005-SOV-09']",111,7,J. Martinez,Owner Rep
PRJ-2018-005,CO-001,2018-03-26,Owner Request,Added controls points per owner directive,207900,Approved,,"['PRJ-2018-005-SOV-03', 'PRJ-2018-005-SOV-13']",189,0,K. Thompson,
PRJ-2018-005,CO-009,2018-03-27,Code Compliance,Inspector required fire dampers,152800,Approved,RFI-023,['PRJ-2018-005-SOV-13'],80,7,R. Williams,Project Manager
PRJ-2018-005,CO-005,2018-04-20,Value Engineering,Substitution approved: copper piping to steel piping,-92100,Rejected,RFI-023,"['PRJ-2018-005-SOV-05', 'PRJ-2018-005-SOV-12']",-14,0,K. Thompson,
PRJ-2018-005,CO-002,2018-05-23,Value Engineering,Substitution approved: Trane chiller to York chiller,-20500,Approved,RFI-027,"['PRJ-2018-005-SOV-08', 'PRJ-2018-005-SOV-04']",-78,0,J. Martinez,
PRJ-2018-005,CO-006,2018-06-12,Design Error,Drawings showed incorrect duct size - field correction required,189900,Approved,RFI-030,"['PRJ-2018-005-SOV-06', 'PRJ-2018-005-SOV-09', 'PRJ-2018-005-SOV-13']",57,14,R. Williams,Project Manager
PRJ-2018-005,CO-004,2018-08-19,Value Engineering,Substitution approved: Carrier RTU to York chiller,-73100,Approved,,['PRJ-2018-005-SOV-15'],-68,0,J. Martinez,
PRJ-2018-005,CO-003,2018-09-26,Coordination,Rerouting required due to plumbing conflict,53600,Approved,,"['PRJ-2018-005-SOV-11', 'PRJ-2018-005-SOV-01']",153,0,J. Martinez,Project Manager
PRJ-2018-005,CO-007,2018-09-30,Design Error,Drawings showed incorrect pipe elevation - field correction required,135400,Approved,RFI-019,"['PRJ-2018-005-SOV-02', 'PRJ-2018-005-SOV-03']",25,0,J. Martinez,Project Manager
PRJ-2018-006,CO-004,2018-03-31,Scope Gap,Work not clearly defined in bid documents,78900,Approved,RFI-030,"['PRJ-2018-006-SOV-02', 'PRJ-2018-006-SOV-10', 'PRJ-2018-006-SOV-05']",15,0,K. Thompson,Project Manager
PRJ-2018-006,CO-008,2018-05-09,Unforeseen Condition,Discovered abandoned piping not shown on documents,179900,Approved,RFI-027,"['PRJ-2018-006-SOV-01', 'PRJ-2018-006-SOV-15', 'PRJ-2018-006-SOV-02']",33,0,K. Thompson,
PRJ-2018-006,CO-003,2018-05-28,Design Error,Drawings showed incorrect pipe elevation - field correction required,145800,Approved,RFI-028,['PRJ-2018-006-SOV-11'],200,0,R. Williams,
PRJ-2018-006,CO-009,2018-06-17,Scope Gap,Work not clearly defined in bid documents,265200,Approved,,['PRJ-2018-006-SOV-02'],136,0,J. Martinez,Owner Rep
PRJ-2018-006,CO-005,2018-09-24,Code Compliance,Inspector required seismic upgrades,235400,Approved,,"['PRJ-2018-006-SOV-14', 'PRJ-2018-006-SOV-04', 'PRJ-2018-006-SOV-15']",46,0,K. Thompson,Project Manager
PRJ-2018-006,CO-002,2018-11-21,Acceleration,Premium time to maintain schedule,52900,Approved,RFI-018,['PRJ-2018-006-SOV-15'],190,5,R. Williams,Project Manager
PRJ-2018-006,CO-007,2018-11-27,Code Compliance,Inspector required additional smoke detectors,236600,Rejected,RFI-021,"['PRJ-2018-006-SOV-02', 'PRJ-2018-006-SOV-13', 'PRJ-2018-006-SOV-12']",36,0,J. Martinez,
PRJ-2018-006,CO-001,2019-04-08,Design Error,Drawings showed incorrect duct size - field correction required,200800,Approved,,"['PRJ-2018-006-SOV-09', 'PRJ-2018-006-SOV-05']",77,0,R. Williams,Owner Rep
PRJ-2018-006,CO-006,2019-05-08,Owner Request,Added chilled water piping per owner directive,322700,Rejected,,['PRJ-2018-006-SOV-08'],69,0,J. Martinez,Project Manager
PRJ-2018-006,CO-010,2019-06-26,Owner Request,Added exhaust fan per owner directive,68100,Approved,RFI-020,['PRJ-2018-006-SOV-04'],85,0,R. Williams,Project Manager
PRJ-2018-007,CO-005,2018-05-15,Design Error,Drawings showed incorrect equipment clearance - field correction required,235600,Approved,,"['PRJ-2018-007-SOV-06', 'PRJ-2018-007-SOV-13']",63,5,J. Martinez,Owner Rep
PRJ-2018-007,CO-003,2018-05-24,Value Engineering,Substitution approved: copper piping to York chiller,-47500,Rejected,,"['PRJ-2018-007-SOV-12', 'PRJ-2018-007-SOV-06']",-67,0,K. Thompson,Project Manager
PRJ-2018-007,CO-004,2018-07-13,Owner Request,Added exhaust fan per owner directive,535500,Approved,,['PRJ-2018-007-SOV-10'],39,0,K. Thompson,Project Manager
PRJ-2018-007,CO-006,2018-07-27,Design Error,Drawings showed incorrect duct size - field correction required,132100,Approved,,"['PRJ-2018-007-SOV-07', 'PRJ-2018-007-SOV-05']",107,0,R. Williams,
PRJ-2018-007,CO-008,2018-08-02,Code Compliance,Inspector required fire dampers,71200,Rejected,,"['PRJ-2018-007-SOV-13', 'PRJ-2018-007-SOV-06']",94,0,K. Thompson,Owner Rep
